4s2	1S	1	0	0.000
4s4p	3P	-1	0	15157.901
4s4p	3P	-1	1	15210.063
4s4p	3P	-1	2	15315.943
3d4s	3D	1	1	20335.360
3d4s	3D	1	2	20349.260
3d4s	3D	1	3	20371.000
3d4s	1D	1	2	21849.634
4s4p	1P	-1	1	23652.304
4s5s	3S	1	1	31539.495
4s5s	1S	1	0	33317.264
3d4p	3F	-1	2	35730.454
3d4p	3F	-1	3	35818.713
3d4p	3F	-1	4	35896.889
3d4p	1D	-1	2	35835.413
4s5p	3P	-1	0	36547.688
4s5p	3P	-1	1	36554.749
4s5p	3P	-1	2	36575.119
4s5p	1P	-1	1	36731.615
4s4d	1D	1	2	37298.287
4s4d	3D	1	1	37748.197
4s4d	3D	1	2	37751.867
4s4d	3D	1	3	37757.449
3d4p	3D	-1	1	38192.392
3d4p	3D	-1	2	38219.118
3d4p	3D	-1	3	38259.124
4p2	3P	1	0	38417.543
4p2	3P	1	1	38464.808
4p2	3P	1	2	38551.558
3d4p	3P	-1	0	39333.382
3d4p	3P	-1	1	39335.322
3d4p	3P	-1	2	39340.080
4s6s	3S	1	1	40474.241
3d4p	1F	-1	3	40537.893
4s6s	1S	1	0	40690.435
4p2	1D	1	2	40719.847
4s6p	1P	-1	1	41679.008
4p2	1S	1	0	41786.276
4s4f	3F	-1	2	42170.214
4s4f	3F	-1	3	42170.558
4s4f	3F	-1	4	42171.026
4s4f	1F	-1	3	42343.587
4s6p	3P	-1	0	42514.845
4s6p	3P	-1	1	42518.708
4s6p	3P	-1	2	42526.591
4s5d	3D	1	1	42743.002
4s5d	3D	1	2	42744.716
4s5d	3D	1	3	42747.387
4s5d	1D	1	2	42919.053
3d2	3F	1	2	43474.827
3d2	3F	1	3	43489.119
3d2	3F	1	4	43508.088
4snp	1P	-1	1	43933.477
4s7s	3S	1	1	43980.767
4s7s	1S	1	0	44276.538
4s5f	3F	-1	2	44762.620
4s5f	3F	-1	3	44762.839
4s5f	3F	-1	4	44763.118
4s5f	1F	-1	3	44804.878
4s5g	3G	1	5	44874.860
4s5g	1G	1	4	44875.950
4s7p	3P	-1	0	44955.670
4s7p	3P	-1	1	44957.655
4s7p	3P	-1	2	44961.757
4s6d	1D	1	2	44989.830
4s6d	3D	1	1	45049.073
4s6d	3D	1	2	45050.419
4s6d	3D	1	3	45052.374
4s7p	1P	-1	1	45425.358
4s8s	3S	1	1	45738.684
